keys,en
ui.compass.label,Compass
ui.contract.unknown,Unknown
ui.contract.label,Contract
ui.contract.identified,Identified
ui.score.label,Score
ui.tier.anonymous,Anonymous
ui.tier.noticed,Noticed
ui.tier.exposed,Exposed
ui.source.sprinting,sprinting
ui.source.running,running
ui.source.climbing,climbing
ui.source.rooftop,on a roof
ui.source.alone,alone
ui.prompt.kill,Kill
ui.prompt.stun,Stun
ui.slot.empty,Empty
ui.slot.cooling,Cooling
menu.host,Host
menu.join,Join
menu.quit,Quit
menu.address,Address
menu.back,Back
menu.results.title,Results
bonus.contract,Contract
bonus.blended,Blended
bonus.patient,Patient
bonus.silent,Silent
bonus.halfseen,Halfseen
bonus.masked,Masked
bonus.fromabove,From Above
bonus.focus,Focus
bonus.longhunt,Long Hunt
bonus.vendetta,Vendetta
bonus.variety,Variety
bonus.stun,Stun
bonus.escape,Escape
bonus.closecall,Close Call
bonus.poisoned,Poisoned
bonus.reckless,Reckless
bonus.death,Death
ability.cinderfall.name,Cinderfall
ability.cinderfall.desc,A burst of ember and ash. Blocks sight and scatters the crowd.
ability.lunge.name,Lunge
ability.lunge.desc,Close the last few metres at a speed no civilian has.
ability.secondface.name,Second Face
ability.secondface.desc,Wear another persona for a while. Broken by sprinting or by being hit.
ability.whisperbolt.name,Whisperbolt
ability.whisperbolt.desc,A thrown blade. The draw is the loudest tell in the district.
ability.nightshade.name,Nightshade
ability.nightshade.desc,Reserved.
passive.stillness.name,Stillness
passive.stillness.desc,Suspicion falls faster when you do not move.
passive.coldread.name,Cold Read
passive.coldread.desc,The Compass reads a little further.
passive.secondwind.name,Second Wind
passive.secondwind.desc,Recover sooner after a stun.
persona.vetraio.name,Vetraio
persona.lucerna.name,Lucerna
persona.pesatore.name,Pesatore
persona.cantatrice.name,Cantatrice
caption.prey.warning,Someone is close
caption.compass.pulse,A pulse
caption.kill.nearby,A struggle nearby
caption.crowd.startle,The crowd scatters
caption.crowd.gawk,A murmur gathers
credits.engine,Made with Godot Engine
ui.results.title,Match results
ui.results.subtitle,Compare your approach. The bonuses show what earned the points.
ui.results.waiting,Waiting for the final results…
ui.results.placements,Final standings
ui.results.breakdown,Bonus breakdown
ui.results.bonus,Bonus
ui.results.count,Count
ui.results.points,Points
ui.results.fold_note,Every point above comes from the same awards as the total.
ui.results.kit,"%s
Abilities: %s
Passive: %s"
ui.results.duration,%d:%02d
ui.results.anonymous,Time Anonymous  ·  %s
ui.results.winner_anonymous,Winner’s time Anonymous  ·  %s
ui.results.unavailable,Not available
ui.results.other_bonus,Other award
ui.results.no_bonuses,No bonuses earned.
ui.results.best_kill,Highest single kill
ui.results.no_kill,No contract kill this match.
ui.results.best_by,%d points  ·  %s
ui.results.your_killers,Your killers
ui.results.no_deaths,You were not killed.
ui.results.killer_count,%s  ·  %d
ui.results.you,%s (you)
ui.results.player_row,%s   %s   ·   %d
ui.results.skip,Ready to continue
ui.results.voted,Ready confirmed
ui.results.vote_sent,Vote sent
ui.results.unanimous,Everyone must agree to continue early.
ui.results.votes,%d / %d ready · Everyone must agree to continue early.
ui.results.remaining,  Results: %d s
ui.results.player_points,%d points
ui.results.anonymous_short,Anonymous %s
ui.results.winner_short,Winner · Anonymous %s
ui.results.no_rank,—
ui.results.player_slot,Player %d
ui.results.shared_winner_short,Joint winner · Anonymous %s
ui.results.shared_winner_anonymous,Joint winner’s time Anonymous · %s
